gnis_id,gnis_name
00859234,China Creek
01504527,Downing Creek
00379465,Coal Creek
00389098,Rantenan Creek
00779479,Bear Creek
00793020,West Fork Englebaugh Creek
00787138,Meadow Creek
00392129,Tiger Creek
00380979,Eagle Creek
00374348,Peach Creek
00392531,Twin Lakes Creek
00391725,Swan Lake Creek
00374391,Pickup Drain
01439665,Chicken Creek
00382316,Goat Creek
02517324,H 20 Lateral
01524232,Pass Creek
00393125,West Fork Indian Creek
00384693,Line Creek
00379681,Copeland Creek
00391187,Spring Creek
00381981,Fourth of July Creek
00381652,Fenster Creek
00386912,Milky Creek
00374603,Raymond Canal
01445951,Spawn Creek
00781576,Conn Creek
00378404,Buckhorn Creek
00380177,Currant Creek
00386949,Mill Creek
02729777,Lateral NB1
00397911,Mill Creek
00380511,Dent Creek
00783712,Free Creek
00372214,Coyote Creek
00390148,Shanghai Creek
00391841,Tango Creek
01447176,West Side Canal
00791088,South Fork Willoughby Creek
00393603,Winton Creek
00783719,Freezeout Creek
00386515,Martin Creek
00381064,East Fork Burnt Creek
01508554,South Meadow Creek
00387017,Mink Creek
00383082,Hem Creek
00372964,Halfway Creek
00393462,Williams Creek
00376857,Bait Creek
00390964,South Fork Lava Creek
00384752,Little Bumblebee Creek
00397412,Basin Creek
00375676,Upper Embankment Drain
00377743,Black Creek
00784854,High Falls Creek
01601171,Lower Cabin Creek
00382726,Grouse Creek
00375625,Twin Groves Canal
00397655,Dry Fork
00779834,Big Lake Creek
00787687,Mormon Creek
00391242,Spruce Creek
00384521,Left Fork Bear Creek
00371997,Chimney Creek
00387478,Nat Brown Creek
00377857,Blind Creek
00377792,Black Warrior Creek
00384727,Little Bear Creek
00392886,Warm Springs Creek
00781123,Cement Creek
02729714,Lateral 710
00371857,Calico Lateral
01518078,Copper Creek
00380108,Croy Creek
00774915,Ohio Creek
00374694,Riverside Canal
00395045,Alder Creek
00388757,Porcupine Creek
00391064,South Hannahs Fork
00393178,West Fork Rattlesnake Creek
00387002,Miners Creek
01153054,Benham Creek
00788280,North Fork Willoughby Creek
00391237,Sprout Creek
00387661,North Fork Brush Creek
00860696,Murphy Wash
00391019,South Fork Scott Creek
00378619,Butts Creek
00386283,Luger Creek
00373507,Lateral X-1
00389421,Roanhide Creek
00860446,Machado Creek
00385966,Log Creek
00373266,Jack Creek
00389920,Sapp Creek
00393118,West Fork Horn Creek
00778868,Adams Creek
